ID,PRODUCT,SLOGAN,DESCRIPTION,CHARACTERISTICS,URL
36,PRO ANAL,vibrador anal progresivo,"Aventurarse en el sexo anal es entrar en un mundo lleno de placer y posibilidades que en amantis conocemos muy bien, por eso hemos diseñado Pro Anal 2 para ti, para que entres triunfante por la puerta de atrás.Su bonito diseño está pensado para que el viaje sea fácil, cómodo y sobre todo placentero. Su textura suave y sedosa y su estudiada anatomía lo convierten en un compañero ideal tanto si exploras estos territorios por primera vez, como si ya los conoces y simplemente quieres un aliado para seguir disfrutándolos. Su punta finita y su cuerpo suave y que aumenta de grosor de manera gradual para que la penetración sea más fácil.Pro Anal vibrador anal tiene 2 motores, uno en su delgada y suave punta, que gracias a su alta frecuencia de vibración, estimulará, despistará y facilitará la dilatación hasta del culo más incrédulo. Su segundo motor está en su cuerpo, para que disfrutes de sus vibraciones cuando hayas intimado un poco más con él. Juega con sus patrones de vibración combinada sentirás como hipnóticamente pasa la vibración de la punta a su base, invitando a sumergirte en un laberinto de placer cada vez más complejo y lleno de matices. Tienes 10 modos diferentes de vibración y 5 niveles de potencia en cada uno.Así que tanto si eres principiante como si te encuentras ya en nivel experto en los placeres anales, abre la puerta a un mundo de sensaciones sorprendentes y explora todas las dimensiones del placer de la mano de Pro Anal 2, que por supuesto cuenta con todas las garantías de amantis y está hecho con los mejores materiales y los más respetuosos con tu cuerpo, ¡para que el viaje sea tan placentero como seguro!Disfrútalo con un poco de lubricante anal y déjate ir a ese mundo lleno de matices, experiencias y sensaciones increíbles que es el sexo anal.",Vibrador anal de punta extrafinaMaterial: silicona de grado médico. Anilla de ABS (seguro con el cuerpo)MedidasLongitud total: 18cm (12 insertables)Diámetro mínimo (en la punta): 0.6 cmDiámetro máximo en la parte más ancha: 2.7 cmRecargable (cargador USB incluido). 40 minutos de uso continuado*Cajita para guardarlo incluidaSilenciosoSalpicable (no sumergible)Colores: negro y púrpura ,https://www.amantis.net/pro-anal-2-vibrador-anal/
37,PULSO AIR,Vibrador palpitador con succionador,"Estamos ante la revolución del placer y en amantis tenemos todas las armas para hacerle frente. Elige cuál es tu batalla y tu arma, ármate de valor y descubre cómo llevar la estimulación sexual al siguiente nivel.Vamos fuertes esta vez porque te traemos un juguete multifunción, PULSO AIR lo tiene todo o casi. PULSO AIR es un vibrador palpitador con succionador, es decir, es un juguete que no deja ni un hueco de tu vagina y vulva sin ser estimulado.Tiene una forma curvada con dos extremos, uno de ellos será el que introduciremos dentro de nuestra vagina y el otro el que dejaremos en la parte externa, es decir, posado sobre nuestra vulva.La parte que introduciremos tiene forma de dildo ahuevado. Tiene estrías tanto en la punta como en los laterales. Esto hará que la vibración sea expansiva y tenga más alcance en el impacto de las paredes de nuestro conducto vaginal. Además tiene un potente motor que vibra al son de 7 frecuencias diferentes. En la mitad de este dildo ahuevado encontrarás un símbolo en forma de óvalo, esto será tu perdición, cuando actives la función verás que aparentemente no hace nada, pero si ejercemos presión con el dedo notarás una suave palpitación en su primera frecuencia. Pero esto no queda así, la velocidad de la palpitación irá aumentando hasta llegar a una fuerza que nos llevará al éxtasis. Este palpitador coincidirá con la entrada de tu vagina, que es dónde se encuentra la entrada de tu uretra, la fuente del conocido squirting, el líquido que corresponde a la eyaculación femenina.Esta parte del dildo es flexible pero la curva es rígida por lo que al introducirlo, automáticamente, el succionador se posará sobre tu clítoris. Este succionador emite ondas de sonido y podrás elegir entre 9 combinaciones diferentes.Este juguete en forma de uve tiene diez patrones de vibración en el motor de la parte de estimulación interna, siete velocidades en el simulador oral y diez frecuencias de beats en el palpitador.","Vibrador + palpitación + succionadorMaterial: silicona + abs10 modos de vibración7 tipos de succión10 frecuencias de palpitaciónTipo de carga: mediante cable USB (incluido)Sumergible IPX7Color: morado, rosa y azul¿Cómo usar el vibrador PULSO AIR?Este juguete tiene tres botones:El de en medio con pulsación larga sirve para encenderlo.Con el botón que contiene una ilustración de unos labios activarás la succión.Con el botón de arriba las palpitaciones y con el de en medio podrás cambiar la intensidad de la vibración.Podrás ajustar la zona del succionador a la zona dónde se encuentre el clítoris fácilmente. Podrás activar la vibración, así como la succión y la palpitación por separado, y también todo a la vez. Te recomendamos que vayas poco a poco y dejes la estimulación clitoriana para el final. También podéis usarlo para masturbar un pene posándose en la esquina en donde las dos partes del juguete se unen. Otro uso será poner esa misma conjunción en nuestra garganta, notaremos la dificultad al respirar y esto nos hará sentir el orgasmo de una manera mucho más profunda.Te recomendamos siempre usar uno de nuestros lubricantes a base de agua como Desliz! para favorecer la penetración y aumentar el placer.No olvides limpiar antes y después de usarlo con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/pulso-air-vibrador-palpitador-succionador/
38,AMADOR,FUCKING MACHINE,"Espectacular, así es la nueva Fucking Machine de amantis AMADOR. La imagen fascinante de una máquina poderosa diseñada para follar. Imagínate lo que puede provocar.Si buscas un juguete que realmente te deje sin aliento, AMADOR es tu mejor aliado. AMADOR es un vibrador-impulsor perteneciente a la categoría de las sex machine. Esta categoría se diferencian del resto de juguetes eróticos porque tienen una base con un motor muy potente que imita muy bien el movimiento de la penetración sin que tú tengas que hacer ningún movimiento.AMADOR está compuesto por dos partes. Por un lado encontraremos un vibrador de moderado tamaño y de diseño semi-realístico de silicona médica, con un tacto completamente suave y compatible con la piel.Por otro lado, AMADOR cuenta con una base en la cual se encuentra el motor, los botones y la ventosa de fuerte fijación, además viene con una tapa que protegerá su mecanismo cuando lo almacenemos.Ambas partes vienen separadas pero funcionan cuando están juntas. El dildo se ajusta a esta base de una manera muy sencilla y es entonces cuando podemos activar sus dos tipos de estimulación diferentes, independientes y combinables:Uno de sus motores activa una potente vibración de 9 patrones de ritmos diferentes.El otro de sus motores responde en 7 intensidades a la orden del movimiento más deseado, aquel que impulsa, que percute, que penetra al más estilo ‘Sex machine’.Este vibrador a distancia puede ser una opción de mucha ayuda para personas con movilidad reducida.","Medidas Dildo 15cm de largo - 3,3cm de ancho Medidas Base cerrada 17,7cm de largo - 6,7cm de ancho Material: silicona + abs9 modos de vibración7 modos de percusiónTipo de carga: mediante cable USB (incluido)Sumergible IPX7Color: CaucásicoRecomendaciones de uso, limpieza y almacenajeApto para uso anal con el uso de la ventosaUso: utilizar un lubricante a base de agua (nuestra recomendación: Desliz!)Limpieza: limpiador antibacteriano Limpín (en su defecto: agua y jabón neutro)Almacenaje: en su propia caja o en una bolsa individual, pero siempre separado de otros juguetes.¿Cómo se utiliza el vibrador a distancia AMADOR?Primero introduce el dildo en el agujero del soporte haciendo que encajen las estructuras salientes y haciendo un pequeño giro a la derecha hasta que queden sujetos.Elige un lugar que te guste y donde haya una superficie plana como mesas, suelos, bañeras o una piscina. Coloca tu vibrador con ventosa en la superficie y baja la pequeña palanca situada en la base para que la ventosa haga su función y se fije en la superficie.Ajusta bien las diferentes ruedas de las bases para que el dildo mantenga tanto el ángulo como la posición que hayas elegido. No te cortes y prueba en cualquier sitio que tus fantasías te propongan, gracias al soporte de AMADOR podremos jugar con los ángulos, girarlo, bajarlo, subirlo y un sin fin de posibilidades para estimularnos de mil maneras diferentes.Es en el soporte dónde encontraremos los botones para manejar nuestra sex machine, pero no olvides que AMADOR tiene mando a distancia por lo que, a parte de manejarlo tú a tu antojo, imagina lo excitante que sería que alguien lo manejara mientras te mira.Enciende AMADOR manteniendo pulsado el botón inferior durante varios segundos y, cuando la luz se encienda, ya puedes elegir el tipo de estimulación que desees en ese momento: botón superior para impulsión y botón de en medio para vibración. ",https://www.amantis.net/amador-fucking-machine/
39,Átame_Fácil,kit de cama universal de amantis,"Un Kit de cama para atar o atarte al colchón, sin instalaciones complicadas ni riesgos, no necesitas ser expert@ en nudos solo contar con la persona adecuada y la picardía necesaria. Lo que hagas después solo queda entre este Kit de cama, tú, tu pareja... ¡y tu colchón!Dispone de cuatro abrazaderas regulables de suave interior (dos para las muñecas y otras dos para los tobillos) unidas por cintas de nylon y uniones de quita y pon, por si deseáis moveros de vez en cuando sin necesidad de retirar las abrazaderas de vuestras extremidades.Gracias a su sistema de velcros muy resistentes, podrás ajustar las abrazaderas a cualquier grosor de muñeca o tobillo, y todo en un santiamién. Su banda central une los cuatro extremos (que pasará bajo tu colchón) de forma regulable para cualquier tamaño de cama, tu amorcito o tu mism@ quedaréis sometid@s al ingenio de vuestr@ amante… y a vuestra compenetración más privada.Fácil de instalar, fácil de disfrutar, fácil de adaptar a cualquier tamaño de cama, y fácil de guardar (tan solo escondiendo las abrazaderas que sobresalen bajo el colchón). Pero tan difícil describir todas sus posibilidades.... que dejamos ese trabajo para tus fantasías más osadas. Además ahora dispones de 2 colores a elegir y un tamaño XL, King-Size por si tu cama es extragrande. Y como ves, ni el precio podrá ser una excusa... ¿Te atreves a atreverte?","Dimensiones máximas de las cintas:210cm cintas horizontales (ideal para camas de hasta 1.50, pero al ser regulable también sirve para camas más pequeñas)120cm cinta vertical 	  ",https://www.amantis.net/atame-facil-kit-cama-universal-amantis/
40,YOLA,"Suave, Texturizada y Preciosista, masturbación definitiva","Tócala y siente su tacto extraordinario. YOLA es una preciosa vagina que encenderá sensaciones cuando la mires y sientas sus 500 gramos de peso.Te presentamos la nueva manga masturbadora masculina de amantis YOLA VULVONIC. Su forma externa te hará preguntarte si viene del cielo o del infierno más caliente. Pero si todavía no te ha convencido, cuando toques su interior sabrás que no te arrepentirás nunca de haberla adquirido.Su interior texturizado ultra suave, está repleto de detalles, valles, ondulaciones y sinuosidades, ha sido diseñada para que la goces sin descanso, a solas o en compañía.Añade unas gotitas de tu lubricante de agua favorito y acariciala por fuera y por dentro, sentirás la presión que ejerce su suave y estrecho canal, meticuloso, repleto de noches de sexo cálido y extenuante.Entrar en YOLA te hará descubrir una cavidad diferente, te llevará a un orgasmo incontrolable e intenso. Sólo tienes que utilizar un lubricante como Desliz!. No olvides que si la sumerges en agua caliente la experiencia será todavía más real. Se adaptará a la forma de tu pene por su elasticidad.¿Vienes a tocar a YOLA a nuestras tiendas o te la enviamos a casa?","Masturbador masculinoMaterial: TPRMedidas: 16cm de largo. 9cm de ancho 12cm de profundidad (elástica). Peso: 520gEstructura 3D interna y externa. Agujero sin salida.SumergibleColor caucásicoLimpieza y conservación: Utiliza tu lubricante con base de agua favorito para cualquier tipo de juego genital para obtener una mejor experiencia. No olvides lavar siempre tus juguetes antes y después de cada uso, con un limpiador específico para juguetes desinfectante y bactericida, como nuestro spray limpiador Limpín. Mantén los juguetes separados entre sí, en un lugar seguro y seco. ",https://www.amantis.net/yola-suave-texturizada-preciosista-masturbacion-definitiva/
41,VÏVVE,Masturbador masculino succionador y vibrador,"Os traemos un masturbador masculino de lo más completo, encontrarás en VÏVVE todo lo que andabas buscando reunido en un solo juguete para penes.VÏVVE es una manga masturbadora transparente con diferentes estimulaciones internas, de una textura muy blandita y en la que verás que con un buen lubricante encontrarás mucha jugosidad. Las diferentes protuberancias masajeadoras con estructuras estimulantes te harán experimentar sensaciones con las que se te quedarán los ojos en blanco. La textura es aterciopelada y suave parecida a la piel real, algo que nos ayudará a tener un mayor control eyaculatorio al simular un tacto parecido al real.La manga masturbadora se encuentra dentro de un tubo que nos regala otro tipo de estimulaciones extra; vibración y succión. En la base del tubo encontramos una bala vibradora cuyas 9 intensidades vibratorias podremos sentir a lo largo de toda la manga. Además de vibración, la sensación de succión en el pene es muy placentera, y con tan solo apretar uno de los botones el motor aspirará el aire que queda en tubo haciendo que manga apriete el tronco del pene.VÏVVE cuenta con un asistente postural, es decir, un accesorio con ventosa y diferentes tipos de ajustes para elegir el ángulo que queramos. Al tener ventosas, VÏVVE nos servirá para poder utilizar este juguete sin necesidad de utilizar las manos. Esto será especialmente útil para personas con diversidad funcional o movilidad reducida. También el hecho de no usar las manos y tener que implicar otras partes del cuerpo hará que tengamos sensaciones más intensas físicamente y similares a lo que sentimos en una relación sexual que implica a otra persona.Una gran novedad es que VÏVVE ofrece una simulación auditiva para una mayor inmersión intensificando así nuestras sensaciones masturbatorias y alimentando nuestra imaginación. Tiene un conector de audio análogico en dónde podrás conectar unos auriculares, que por cierto, ¡vienen incluidos!","Medidas:  31,5 cm x 8 cm x 24,1cmMaterial: TPRColor: verde y rojoCómo se usa el masturbador masculino succionador y vibrador VÏVVEPrimero has de retirar la tapa blanca que está en la parte superior del tubo. Verás que la manga transparente es extraible, por lo que este juguete se puede usar con tus propias manos apretando la propia funda o con el tubo y sus funciones asi como con el asistente postural.Te recomendamos que independientemente del uso que le des, es imprescindible aplicar en su interior un lubricante a base de agua como Desliz!. Aplica la cantidad que consideres necesaria tanto en la parte externa como en la interna.Puedes empezar de manera sútil masajeando tu glande con las diferentes texturas de la primera parte de la manga, alarga esta parte todo lo que puedas y cuando sientas excitación, y una vez conseguida la erección, introduce tu pene erecto en el agujero del masturbador. Después, ya dependerá de cómo te sientas, pero puedes alternar las sensaciones de succión y vibración o utilizarlas a la vez cuando ya estés a tope. Para activar la vibración aprieta 3 segundos seguidos el primer botón, y una pulsación corta para aumentar la intensidad. Te recomendamos que pruebes la función succión con otro miembro de cuerpo para acostumbrarte a las sensaciones.Puedes sujetarlo con tus manos o encajar el tubo en el asistente postural a través de una pequeña rosca giratoria. La ventosa puede ponerse en cualquier superficie lisa y el juguete se sujetará sin necesidad de que tu uses tus manos y opcionalmente podrás ayudarte de tu pelvis en el movimiento.El asistente postural tiene ventosa que se adhiere con la palanca que se encuentra encima: bajándola hará que la ventosa se quede fija. Con la rueda que está en el lateral encontrarás la manera de fijar le angulo que te venga bien según la postura que quieras encontrar.Si quieres potenciar las sensaciones te recomendamos nuestro calentador de mangas masturbadoras Templo o nuestro lubricante con efecto calor de Desliz! para aumentar sensaciones y tener un excelente control eyaculatorio. ",https://www.amantis.net/vivve-masturbador-masculino-succionador-vibrador/
42,TÁNDEM,Dildo_Arnés 100% Silicona. Para dar mientras tomas,"No es ciencia ficción. Es todo un TÁNDEM para el placer coital, diseñado para transportaros a todos los paisajes orgásmicos que os atreváis a visitar en pareja.Sin correas ni complicados arneses. Para dar mientras tomas o para tomar mientras das, a TÁNDEM le da igual mientras disfrutéis como os gusta disfrutar. Porque su sorprendente suavidad flexible no está reñida con una firme sujeción al cuerpo de su portadora, TÁNDEM es la opción más amantis para penetrar en tu amorcito con tu vagina estimulada y tu clítoris acariciado al mismo tiempo, para derretiros de placer a vuestro ritmo. La parte más corta y gruesa de TÁNDEM se adapta al conducto vaginal gracias a su ergonómica forma de riñón, que está suavemente estriado en su parte interior para favorecer el agarre e intensificar sensaciones sobre el Punto-G, centro de placer que también se verá estimulado por una ligera presión sostenida e irresistible que, una vez colocado, puede modularse inclinando más o menos el simpático y moderado dildo que se extiende a continuación para uso, disfrute (y penetración) de la otra parte afortunada. Y todo en una misma pieza de aterciopelada silicona higiénica.¡Toma TÁNDEM para dar y tomar! TÁNDEM posee un inteligente abultamiento en forma de ola en la base del dildo, entre sus dos partes principales, encargado de completar la estimulación clitoriana de su portadora, y de quien reciba los encantos curvos de su dildo si también es una mujer. Si es un hombre servirá de tope de seguridad para disfrutar sin contratiempos. Un dildo encantador de unos 15cm operativos que termina de darle personalidad a este TÁNDEM es la parte que queda fuera del cuerpo para compartir, y que está rematada en otro abultamiento redondeado en su extremo para disfrutar en las penetraciones parciales con un extra de intensidad. No se le puede pedir más... ¿o sí? ¿Que vibre acaso? Pues dicho y hecho, porque TÁNDEM ofrece un espacio interno diseñado para introducir una bala vibradora alargada (incluida) con 10 patrones de vibración distintos, lista para repartir caricias extra a uno y otro extremo de sus formas revolucionarias... y que también puede alegrar otras partes del cuerpo si quieres disfrutarla fuera de tu TÁNDEM en otras partes del cuerpo. TÁNDEM hace feliz a parejas de chicas y a parejas hetero por igual. Aunque hay que reconocer que (aún) cuenta con más fans entre las parejas lésbicas que entre las hetero. Si, aún... porque cada vez son más chicos los que se animan con nuevas sensaciones.¿Vas a compartirlo... o es que piensas disfrutarlo tu solita? Mejor en Tándem, ¿no?"," · Realizado en una sola pieza 100% silicona higiénica. · 384gr. de peso. · Lubricar siempre con fórmulas a base de agua. · Espacio interno para bala vibradora. · Bala vibradora 10 patrones-vibración (incluida) realizada en ABS. Funciona con 1 pila AAA.Medidas Dildo: · Longitud operativa: 15,5cm (aprox) · Ancho medio: 3cm (aprox) · Ancho máximo: 3,5cm (aprox)Medidas Segmento acoplable al cuerpo: · Longitud operativa: 9cm (aprox.) · Ancho máximo: 4cm (aprox.)                ",https://www.amantis.net/tandem-dildo-arnes-100-silicona-dar-mientras-tomas/
43,EXPLORE PERFECT,posiblemente el dildo realista perfecto,"La nueva serie de penes Explore de amantis te invita a descubrir diferentes sensaciones sin límites. Dildos impactantes visualmente, realistas y con un tacto exquisito.Perfect tiene unas proporciones que lo hacen ideal para cualquier persona, te guste lo que te guste o te apetezca lo que te apetezca, Perfect no defrauda. No es muy grande ni muy pequeño y tiene el mismo tacto y flexibilidad que el resto de sus hermanos. Es uno de los dildos realistas más vendidos y se ha convertido en el preferido de muchas personas. Cuando lo tengas en tus manos entenderás el porqué, y es que cuesta resistirse a semejante tentación, y ya verás como te esperan muchas horas de placer a su lado, porque una cosa te aseguramos, una vez que lo pruebas vas a querer repetir una y otra vez.Su material manejable y su piel suave despertarán en ti todo tipo de fantasías, y gracias a su poderosa ventosa que se adhiere firmemente a cualquier superficie lisa, las posibilidades de juego son enormes. Gózalo en la ducha, delante de un espejo, sobre la mesa de la cocina, úsalo a solas, en compañía, úsalo con tu arnés de anillas preferido, úsalo mientras te observan o simplemente fantasea con él mientras estás en la oficina, porque EXPLORE PERFECT ha sido creado para darte placer.","Longitud total (sin contar ventosa) 17 cm, insertables 14,5 cmDiámetro: 3,9 cm en glande 4,2 cm en la baseFabricado en PVC sin olor y sin ftalatosUtiliza Lubricante de agua como Desliz de agua de amantis para un mejor resultado. ",https://www.amantis.net/explore-perfect-pene-realista-perfecto/
44,AVATAR FIRST LOVER,amante realista de suave silicona,"No es ciencia ficción, aunque te aseguramos sensaciones extraplanetarias, son los nuevos dildos 100% de silicona exclusivos de amantis, la nueva línea AVATAR.¡Ahora con textura de doble densidad!First Lover es muy realista, su tacto es cálido y amable, su color sorprende, pero su silueta y sus detalles te transportan a una experiencia auténtica con palpitantes colores. Su impacto visual tremendo, estimula el juego a solas pero genera sudores hasta la extenuación en compañía.¿No sabes que es la silicona de doble densidad? Significa que hay dos capas de silicona: una interior con la consistencia necesaria para que el dildo sea flexible y a la vez se mantenga erguido, y una segunda capa que envuelve por completo a la primera que hace que sea muy blandito… tanto, ¡que podrás incluso pellizcar tu dildo!Aplica unas gotas de tu lubricante favorito y acaricialo. Su material, 100% silicona médica, es consistente pero suave, suficientemente rígido para abrirse profundos caminos pero maleable para adaptarse por donde pase. Si nunca has probado la silicona te sorprenderá y si ya la has gozado, sabes por qué es el mejor material de tus dildos favoritos. Su potente ventosa permiten adherir a First Lover a cualquier superficie lisa o utilizarlo en un arnés de anillas como el de amantis. Y su calidad y forma lo hacen un excelente compañero de juegos e ilusiones por cualquier compuerta que quieras probar.¿Será tu primer amante?","Material 100% Silicona doble densidadLongitud total Pequeño 17,5cm, diámetro 3,8cm, insertable 13cmLongitud total Mediano 19cm, diámetro 4cm, insertable 15cmPeso 235grFabricado en una sola piezaUsa solo lubricantes de base acuosaLimpiar antes y después de su usoGuárdalo alejado del contacto con otros plásticos. ",https://www.amantis.net/avatar-first-lover-amante-realista-suave-silicona/
45,PASSION PUMP,bomba de succión automática de amantis,"El mundo es cada vez más tecnológico, por eso tanto las personas como los juguetes nos vamos adaptando y desarrollando con el paso del tiempo. PASSION PUMP es el ejemplo más claro de esta evolución. Se trata de una bomba de vacío motorizada de gran calidad. Mediante sus 3 botones intuitivos y la pantalla electrónica podrás tenerlo todo controlado: El tiempo de uso, la función de succión, la presión del vacío y la batería.Pero lo más increíble es que tiene 4 funciones de presión predeterminadas que, prácticamente, hacen todo el trabajo. Cuando cada función llega a su máximo de presión, la bomba se vacía hasta el mínimo establecido y vuelve a repetir la acción automáticamente. Se podría decir que se trata, casi casi, de un manos libres. Aun así, si eres de los que prefieren controlar por ti mismo la presión y el vacío, también podrás hacerlo.El tubo tiene las medidas perfectas para ir viendo los progresos en directo: 20cm de largo x 6cm de ancho. Vas a comprobar cómo crecen tu miembro y tu vigor al mismo tiempo.Aplica una buena cantidad de lubricante a base de agua y consigue las erecciones más poderosas. No te olvides de deslizar hasta la base del pene una de las anillas incluidas para mantenerte erecto durante más tiempo.","Bomba de vacío motorizada + instrucciones4 Ritmos de succión.Recargable, con cable USB incluido.3 Anillas incluidas.Medidas:Total: 28cm de longitudTubo: 20cm de largo x 6cm de diámetroAnillas: 18mm (56mm total), 23mm (67mm total) y 26mm (80mm total)Material:Funda: Silicona MédicaTubo y panel de control: ABSAnillas: TPEColor: Bomba de vacío: Negro y Transparente. Anillas: NegroUtiliza tu lubricante con base de agua favorito para cualquier tipo de juego sexual y obtener así, la mejor experiencia. No olvides lavar siempre tus juguetes después de cada uso con un limpiador específico, como nuestro spray limpiador Limpín. Mantén tus juguetes separados entre sí, en un lugar seguro y seco. Puedes utilizar nuestras bolsas de satén en diferentes tamaños. ",https://www.amantis.net/passion-pump-bomba-succion-automatica-amantis/
46,CUORE TRÍO,Kit de 3 plugs con corazón,"Descubre la nueva línea de plugs TRIO, una propuesta progresiva y original que te ayudará a adentrarte en el maravilloso mundo del placer anal. Una línea elaborada con materiales de primera calidad para que puedas disfrutar de las mejores sensaciones a tu ritmo.No importa la experiencia que tengas en los juegos anales, lo importante es encontrar algo adecuado para cada momento. Los plugs TRIO te permiten progresar poco a poco en tus dilataciones desde tu vertiginoso primer contacto hasta la apertura total de tu mente y tus sensaciones con los tamaños más atrevidos.Enamórate de CUORE y sus tres plugs de metal oscuro rematados con un hermoso diamante en forma de corazón. Los plugs de CUORE son una declaración de amor al sexo anal que decorará tu ano estimulando a tu pareja con los destellos de su brillante corazón. Sumerge CUORE en un poco de agua tibia o enfríalo con unos hielos y podrás sentir tu corazón palpitar al ritmo de un estimulante juego de temperaturas y contrastes. Su textura ultra lisa desliza como pocos con unas gotitas de tu lubricante anal de confianza.Enamórate del sexo anal a tu ritmo con CUORE.",Pequeño L: 7.0cm Max Dia.: 2.7cm 50gMediano L: 8.0cm Max Dia.: 3.4cm 90gGrande L: 9.0cm Max Dia.: 4.2cm  160gIncluye bolsita de satén para su conservaciónLimpiar antes y después de cada uso con agua templada y jabón o con Limpín Bactericida ,https://www.amantis.net/cuore-trio-kit-3-plugs-corazon/
47,MAGIC CUP,Masturbarse mola un huevo,"Masturbarse mola un huevo y si es con cualquiera de nuestros huevos masturbadores Magic Cup, la experiencia será épica. Bajo su cáscara este huevo tamaño XL esconde todo un mundo de sensaciones que hará que la masturbación alcance una dimensión completamente nueva.  Elige tu experiencia Magic Cup entre una de sus seis irresistibles formas y prepárate para sentir las intensas sensaciones que estos huevos son capaces de despertar en ti. Una jugosa boca, una carnosa vulva o un estrecho ano harán la experiencia tan deliciosa e increíble que te volverás incondicional de la dieta que recomienda un huevo al día.Magic Cup Naranja: su delicada vulva esconde una estructura interna en líneas que te lleva a su interior, donde disfrutarás sensaciones cambiantes gracias a sus anillos estriados y un final punteado.Magic Cup Azul: Una vulva carnosa con un marcado Punto G te invita a un interior de seductores anillos de estrías que te harán recrearte en cada penetración.Magic Cup Morado: Una hermosa vulva estilo mariposa, con labios menores desplegados, te seduce para encontrar su marcado Punto G y disfrutar su interior de deliciosas estrías.Magic Cup Rosa: Una boca carnosa  y seductora te arrastra a un delicioso interior de marcadas líneas con un irresistible final punteado de efecto lengua.Magic Cup Verde -Descubre las delicias de un ano realista con una entrada muy estrecha y las potentes sensaciones de las estrías más marcadas de toda la gama.Magic Cup Rojo -> Una vulva estilo tulipán que esconde sensaciones increíbles con múltiples puntos alineados que te arrastrarán hasta su húmedo y delicioso fondo.","Cuando hayas acabado de disfrutar con tu Magic Cup utiliza Limpín para limpiarlo, sécalo bien y vuelve a guardarlo en su carcasa hasta la próxima.Huevo masturbador para pene6 modelos diferentes (boca, ano y 4 vulvas/vaginas)Material: TPEMedidas: 10.6cm de largo * 6.2cm de diámetro (elástico) ",https://www.amantis.net/magic-cup-6-masturbador-masculino/
49,PRINCE,Vibrador de silicona con rotación real,"Este príncipe (¡y qué príncipe, madre mía!) ni es azul ni viene a caballo, sino rotando… Olvida los cuentos de hadas y conoce al verdadero Prince charming.Este vibrador es capaz de rotar 360 grados dentro de ti. Sí, sí, como lo lees. Fabricado en suave silicona y un acabado de lo más realista, Prince ha llegado a amantis para colmar de felicidad y orgasmos a todas aquellas personas que se asustaban de su hermano mayor: King.De un tamaño más reducido, pero no por eso menos potente, Prince te hará sentir como si tuvieras un verdadero pene entre las manos (y las piernas). Aprovecha los momentos previos a la penetración, mientras aplicas tu lubricante a base de agua, para notar una a una las venas que recorren su tronco erecto. Cierra los ojos por un instante y masajea a tu príncipe de arriba a abajo. ¿Te has dado cuenta de los detalles del glande? Tendrás que abrir los ojos para comprobar que no es un pene de carne y hueso.  Prince es totalmente sumergible, así que podrás jugar con él en cualquier lugar.Las funciones de vibración y rotación son independientes, por lo que podrás usar una, otra o incluso ambas a la vez para una mayor estimulación. Para iniciar el juego, mantén pulsado el botón de encendido durante 3 segundos y veras que el nombre de amantis comienza a brillar en un sinfín de colores. A continuación, pulsa el botón superior para iniciar la vibración, o el botón inferior para darle vida a tu juguete con sus nada menos que 9 modos de rotación. Para apagarlo, (aunque ya sabemos que esta va a ser la parte más difícil) deberás mantener de nuevo pulsado el botón de encendido durante otros 3 segundos y, finalmente, decir adiós a tu príncipe hasta vuestra próxima cita… ¡que seguro no tardará mucho en llegar!","Características:Contiene: Vibrador con rotación + cable USB + instruccionesMedidas: 21,2cm -15cm insertables- x 3cm Materiales: silicona de grado médicoTipo de carga: mediante cable USB (incluido)Sumergible IPX7Panel iluminadoColor: fucsia, púrpura o negroLimpieza y conservación:       No olvides acompañarlo con tu lubricante a base de agua preferido, como Desliz! Agua, y limpiarlo antes y después de cada uso con agua tibia y jabón neutro, o un jabón bactericida como Limpín. Guarda tus juguetes alejados de la luz solar directa y de manera individual (no deben almacenarse nunca en contacto con otros) por ejemplo con nuestras bolsas de satén. ",https://www.amantis.net/prince-vibrador-silicona-rotacion-real/
