Unnamed: 0,ID,DATE,RATIO,ID_USERS,COMMENT
26,162,2024-01-01,2,156,"Es el segundo qué compro, en febrero de 2021 ya compré uno. Los uso solo, pero es muy diferente. El otro por más que me pusiese lo único que sentía era como frío, efecto mentolado y el pene durísimo (cabe decir que mi pene es un clitoris hipertrofiado porque soy un chico trans y a lo mejor la sensación puede ser distinta, no lo sé), lo compré de Frutos Rojos.En esta compra he probado el de Melocotón y es verdad lo que dicen los comentarios, arde. Se ve que me puse mucho, aunque me intenté poner una gotita y al principio lo mismo, tal cual me lo puse, sin estar excitado ni nada, se me puso duro untandolo, no llegó casi ni a tocarme, pero luego ardía muchísimo y fue incómodo, así que seguiré probando menos cantidad a ver.Sensibilidad a mi personalmente no me da del tipo placer, pero si del tipo erección."
27,162,2023-12-30,5,57,"A mí mujer le encanta,y que decir de cuando a una mujer le gusta algo,de rebote pues hace que me guste a mí también, jajajaja en cuanto quede poco a pedir más,gracias"
28,162,2023-12-07,2,34,"A mi personalmente me ha decepcionado. No aprecio la sensación de hormigueo sino efecto calor. No es lo que esperaba, pero el sabor de melocotón está rico."
29,162,2023-12-05,4,610,"He probado dos el de fresa y cereza, y como sabor me gusta más el de cereza. La verdad que si se nota un poco d hormigueo pero lo que más se nota es calor, y eso me gusta."
30,162,2023-09-13,5,58,"Lo compré por qué el nombre me dio curiosidad, utilizamos sólo una gotita y si se siente un cosquilleo, y el sabor a cereza muy rico, la próxima vez compraré el bote grande"
31,162,2023-08-26,5,160,"Me gusta este vibragel, no tiene olor, pero tiene sabor muy rico con sabor de fresa"
32,162,2023-08-26,5,611,"Me gusta este vibragel, no tiene olor, pero tiene sabor muy rico"
33,162,2023-08-25,5,513,"El sabor es perfecto, de cereza. Se siente un calor que aumenta pero no más. Aún así lo probaremos más para descubrir todas sus posibilidades."
34,162,2023-08-18,4,451,"Buen aroma y la textura también me gusta. Se nota una ligera sensación, pero lo esperaba más intenso."
35,162,2023-08-07,4,173,"Me encanta este producto. La vibración en los genitales y la lengua se nota bastante. Por ponerle algún ""pero"", decir que en la lengua no se nota y que a lo largo del tiempo va perdiendo intensidad."
36,162,2023-08-01,3,796,"Cogí el producto frutas del bosque, la verdad es que ni el sabor ni el color es que den morbito alguno, no lo recomiendo en este sentido. El sabor deja bastante que desear, sabe a todo menos a frutos del bosque y el color, es un verde moco radioactivo, que solo con echarlo en los dedos, da cosita untar.Al lío, una vez superado el tema sabor y color, lo probé primero en mi lengua y si, funciona, se nota una vibración en la lengua que no es tan ligera. Personalmente en las partes intimas no me ha gustado, aparte de la vibración, que hubiera estado bastante divertida, se añadió una sensación de calor en la zona no tan agradable.El calentamiento/vibración dura dependiendo de la cantidad de producto que pongas, así que empieza probando con poca cantidad."
37,162,2023-07-30,5,1224,Huele bien pero mi pareja no sintió nada al echárselo. Lo probaré yo también.
38,162,2023-07-18,5,333,"Decidimos probarlo porque estaba de oferta. Se nota en los labios, la lengua, los genitales... Para nosotros fue bastante satisfactorio y añade un toque a todo lo que no es coito y al coito.Eso sí, en los pezones no noté nada."
39,162,2023-07-18,2,166,"Lo compré porque me daba curiosidad el concepto ""vibrador líquido"", y la verdad es que no quedamos muy satisfechos. Lo bueno es que por su pequeño tamaño (no mucho más grande que un mechero) se puede llevar a cualquier sitio y que al solo ser necesaria una gota, cunde mucho y es cierto que el olor es muy bueno, huele muy bien a cereza. Lo malo es que la sensación que me provocó en el pene a los pocos segundos fue muy muy desagradable, de ardor total, incluso dolorosa, como si me estuviese quemando, nada similar a los otros productos con efecto calor que había probado antes. De hecho, las 3 veces que lo hemos usado, no lo he aguantado y he tenido que aclararme con abundante agua para poder seguir con el tema, y tener que parar por eso es un corte de rollo total. A mi chica también le ardieron los labios y la lengua cuando lo probó. No lo hemos probado en su vulva porque no nos hemos atrevido después de las otras experiencias. Por tanto, no lo recomiendo salvo que te gusten las sensaciones muy fuertes."
40,162,2023-07-06,3,595,"Nos llamaba mucho la atencion. Divertida sensacion, aun que no es para todo el mundo. Directamente en los genitales nos parecio demasiado distractor. Muy rico en demas zonas erogenas. Tampoco disfrutamos de la sensacion en labios y lengua."
41,162,2023-07-02,5,1073,Me encanta la sensacion que da y aguanta un tiempo
42,162,2023-07-02,5,350,"Perfecto, al principio no notaba nada, pero en pocos segundos se nota algo de calor o vibracion"
91,68,2024-01-19,1,717,"Lo compré para mi pareja (el verde) y la verdad es que ni fu ni fa, no consiguió el efecto deseado. Una decepción."
92,68,2024-01-17,5,335,Muy buena la sensacion y mas por el prwxio que tiene.Totalmente cierto que mola un huevo
93,68,2024-01-17,5,873,"Había probado los huevos Tenga sin llegar a ver en ellos las maravillas de las que hablaba tanta gente, por lo que no tenía muchas esperanzas puestas en estos otros... ¡Lo equivocado que estaba!Estos juguetes están a otro nivel, ya de entrada su diseño te llama a querer jugar con esos labios (o boca, o ano, lo que prefieras), aumentando la excitación previa. Su textura exterior es muy agradable, querrás jugar con tu lengua y acariciar tu pene dejando que sea el juguete el que lo empape de lubricante antes de pasar a la acción.Y ahí entramos (nunca mejor dicho) en otra parte buena, la textura interior de estos juguetes hara maravillas con tu miembro. De hecho estas texturas son el gran atractivo del producto, por eso pondré una foto adjunta, ya que no suelen verse tanto y es algo a destacar.También hay que indicar su facilidad de limpieza (se le da la vuelta muy fácilmente) y la comodidad de guardado en su propio envase.¿Cuál elegir?, sinceramente, el que tenga la entrada que más te excite, en mi caso los spouse (foto) y mature me ponen a mil.Disfrutadlo."
94,68,2024-01-16,5,186,"Me está molando probarlo, reencontrarme con mi cuerpo en mi transición me está permitiendo probar cosas que nunca habría probado. Es cómodo, aunque me molaría un diseño de labios más realista. Fácil de limpiar y muy cuco, a la par que portátil. Importante comprar muuuucho lubricante, como con todo lo demás"
95,68,2024-01-09,5,588,"Un juguete fabuloso, nunca lo había probado y estoy encantado"
96,68,2023-12-12,5,229,"Cogí la versión verde y la rosa, las probé un día que mi chica no estaba y luego junto a ella. Fue increíble. Si lo lubricas bien y utilizas el vacío con el agujero que tiene en la parte posterior, la sensación es totalmente realista.Mi personal favorito es el rosa, lo recomiendo mucho."
97,68,2023-12-11,5,874,"Hola Soy Raul de nuevo, ahora subo foto para que veais como queda."
98,68,2023-12-08,5,664,Mi primera experiencia con juguetitos y con este huevo morado con sorpresa ;) La verdad que mola probar cosas nuevas!! :)
99,68,2023-10-22,5,136,"La verdad que pensé que estos juguetes no valdría para nada, lo compré por curiosidad y me ha sorprendido gratamente"
100,68,2023-09-24,4,866,"El mejor huevo masturbador que he probado.Se puede limpiar y reutilizar.No me gusta mucho que parece una vulva de niña, mejor elegir otros motivos."
101,68,2023-09-04,4,875,"Hola,buen producto,pero para mi es un poco puequeño, por precio calidad da juego"
102,68,2023-08-31,5,532,"Compre el morado, y excelente. La textura, comodidad, su limpieza, recomendable."
103,68,2023-08-25,5,876,Muy cómodo y mucho más excitante que la mano solaMuy recomendable y por su precio......
104,68,2023-08-25,5,168,"La verdad es que no estaba muy convencido cuando lo compré (lo vi a muy buen precio y me decidí). La primera vez que lo usé me sorprendió para bien, me duche en el trabajo y lo probé con el sobrecito de lubricante de regalo. La sensación es brutal, además al ser más grande que los huevos “normales”, te cubre mucho más, por lo que la más turbación es (ya de por si lo es) mucho mas cómoda y placentera. Además se limpia muy bien, y procurando dejarlo bien seco, se puede usar varias veces. Lo recomiendo al 100%, sin duda."
105,68,2023-08-25,5,180,"La verdad que me sorprendió para bien, compre dos el verde anal y el azul vaginal. Para mi gusto el azul es mas intenso. Muy recomendables"
106,68,2023-08-02,5,824,"Genial, sencillo pero muy útil. A partir de ahora ya no puedo masturbarme sin el magic cup! Lo que cuesta es guardarlo en su cáscara original..."
140,334,2024-01-14,5,650,"Suave al aplicar, hidrata, no gotea, sin olor, din efectos secundarios. Excelente"
141,334,2023-12-26,3,219,"Aproveché que estaba super rebajado para darle una oportunidad, ya que llevaba tiempo buscando un método práctico y eficaz para aplicar el Lubrifist sin meter la mano directamente en el bote.. Pero por desgracia, este no fue.Intenté succionar el producto cómo si fuera una jeringa, pero el émbolo del interior no hacía vacío, con lo que me vi teniendo que coger una cantidad con el dedo e introduciéndola por la parte trasera tras desmontarla hasta que creí que era todo lo que iba a necesitar... Pero igualmente, al no hacer vacío y tener holgura, parte del producto se escapaba por arriba, mientras que otra pequeña parte si que salía por la punta.No sé si habrá sido cosa de que mi producto estaba defectuoso, pero incluso después de varios intentos, fui incapaz de que cumpliera con su función de succión"
142,334,2023-11-05,5,887,"Impresionante. Estamos encantados. No solo cumple su función, además es placentero al aplicarlo y jugar"
143,334,2023-09-08,5,885,"A continuación os dejo mi reseña del aplicador de lubricante INLUB de Amantis.Este juguete tiene como función principal aplicar lubricante en el ano o la vagina. En mi caso, al ser hombre, en el ano.En cuanto a las medidas y color, tan solo está disponible en negro y mide lo mismo que una caja de 12 preservativos de durex natural xl. En cuanto a su uso, básicamente tiras la barra hacia atrás una vez lo tienes en el bote de lubricante y lo cargas. En el bacanal y Fleshlube calor de 200 y 250ml sirve, ya que lo metes hasta adentro y lo cargas.En cuanto a la cantidad de lubricante, cargarlo hasta arriba es demasiado, con cargarlo hasta la mitad da para tener sexo sin problemas con tu pareja, lo que también aumenta el gasto de lubricante y tendréis que comprar otro bote antes. Lo bueno es que con este aplicador de lubricante, la lubricación no será un problema.Para que no se os pierda dentro de la vagina o del ano al introducirlo, dicho aplicador cuenta con un separador que bloquea que entre demasiado dentro. Para mí, hasta donde se puede entrar ya es suficiente para lubricar todo en un minuto.Por último, también lo podéis utilizar en los masturbadores para hombre de Amantis, ya que al tener estos un tejido flexible, el INLUB entra sin problemas y así evitaís heridas por roce por ponerle poco lubricante. Si te lo introduces en la vagina o ano, en segundos te puedes poner a masturbarte con tu dildo.En resumen, por el precio de 5 euros es un chollazo para usarlo en tus relaciones en pareja o para masturbarte en solitario."
144,334,2023-07-28,5,936,"Retirar el émbolo, poner el lubricante, volver a meter el émbolo, aplicar un poquito de lubricante en la punta y para dentro! Muy sencillo de usar"
157,491,2023-08-07,4,381,"Si lo quieres usar, olvidate de la comodidad de la cama, coloques donde coloques la ventosa, por el peso, acaba venciendo.Además si buscas discreción tampoco es tu juguete, hace bastante ruido.Para el uso en pareja ... Cuando hace resistencia al entrar, o mantienes firme con fuerza o solo se mueve la base. Es decir, tienes que compensar tú con la mano para que el movimiento lo haga el vibrador/dildo/loquepongas, y a veces pues no es sencillo medir esa fuerza cuando no eres quien está recibiendo el juguete.Como pros... Es bastante facil de poner en funcionamiento, tiene mandito para regular tanto vibración como la velocidad de empuje y es resistente al agua. En la ducha la ventosa sí funciona genial."
162,400,2023-09-16,5,890,"Estupendo gran fuerza y eficaz. Me encanta, la pone grandisima y la deja mas de la mitad cuando la sacas, estupendo."
168,34,2023-11-30,5,892,"Un estupendo regalo para un momento especial. El artículo es suave, muy favorecedor, cómodo y con una excelente relación calidad precio, lo recomendaría, y a disfrutar!"
169,34,2023-07-08,3,893,"La verdad es que tengo opiniones positivas y negativas sobre este bodystocking. Por un lado es muy elástico, así que posiblemente se adapte a una variedad muy grande de cuerpos, lo cual es bueno. Por otro lado, llegó con un tirante suelto y el otro se soltó al primer uso. Vista esta experiencia y que está fabricado de forma parecida a unas medias de rejilla, al principio tenía la sensación de que habría que manejarlo con mucho cuidado para que no se rompiera con solo ponerlo, pero la verdad es que ha aguantado bastante bien después de varios usos. Lo de los tirantes parece un defecto de fabricación bastante claro. Simplemente estaban sujetos por una o dos puntadas, algo fácil de solucionar para quien sea un poco hábil con hilo y aguja, pero incluso sin ellos se puede usar por la elasticidad que tiene. Cierto que estaba de oferta, aunque esperaba de Amantis un control un poco mejor de la calidad de sus productos. Por lo demás, estoy satisfecho."
176,31,2023-12-23,5,897,"Es súper fàcil de colocar en la cama, tiene una buena sujeción en piernas y brazos y es muy cómodo tanto para chicho como para chica. Y da una infinidad de juego, dejad volar vuestra imaginación"
177,31,2023-12-18,5,36,"Me lance a comprarlo con una oferta del ""fuckfriday"" con un precio imbatible. La verdad que a mí pareja le sorprendió y al llevar mosquetones independientes en cada extremidad da mucho juego para atarlo de diferentes formas"
178,31,2023-12-12,5,239,"Nos está resultando todo un placer encontrar el momento para usarlo porque permite sensualidades muy especiales... Tremendamente fácil de colocar y utilizar, con la plena sensación de libertad, captura y placer: en nuestro caso enganchamos sólo una muñeca y el tobillo contralateral para seguir jugando con caricias y atrapamientos."
179,31,2023-09-12,5,114,"Funciona genial! super fácil de colocar! El velcro con el que atar manos y pies se cierre muy bien, por lo que se puede inmovilizar a la persona fácilmente ;)"
180,31,2023-09-09,5,346,"Nosotros lo compramos para una cama de 1,50 m y va perfecto. Las tiras en forma de hache se pueden dejar debajo del colchón de forma discreta. Cuando se va a usar, se sacan los extremos y se añaden los amarres de muñecas y piernas. la longitud de los amarres es regulable. Para la cama de 1,50 m los amarres de las piernas quizás quedan un poco tirantes incluso dejando la mayor longitud posible, aunque tampoco mucho. El cierre es con velcro. La persona atada queda completamente inmovilizada y es difícil que pueda soltarse sin ayuda de la pareja, con lo que las sensaciones de impotencia y dominio son muy intensas. Al ser velcro puede esperarse desgaste con el tiempo, pero nosotros lo tenemos desde hace casi un año y no hay ningún signo de deterioro. Altamente recomendable para escapar de la rutina."
181,31,2023-09-01,5,898,"Ideal para camas que no tienen barrotes ni patas en el somier, pues es muy fácil de instalar debajo del colchón. El enganche es fácil de poner y quitar."
416,52,2024-01-05,5,477,"Es algo diferente para probar, cosquilleo y relajante a la vez, da mucho juego ."
417,52,2023-12-05,5,1879,"Nunca antes por tan poco se pudo conseguir una sensación como la que produce este ""aparatito"".Más simple de funcionamiento que el motor de un botijo y te ""resetea"" completamente todo ese cuerpo serrano tuyo de las personas físicas!Y por no personalizar (que no es plan) y como ejemplo ajeno de lo que digo.......aquí os dejo esta foto del mejor amigo del ser humano en plena acción con el aparatito de marras.Y estos no disimulan.......lo que es, es.¿Se puede tener cara de mayor satisfacción que la de este adorable perrín?Por eeeso no quería poner yo mi foto......Saludos y no os lo perdáis, de verdad, merece muuucho la pena.Marco Lucentum"
418,52,2023-09-17,5,604,"Lo compramos por ver que tal, pero la verdad que para complementar algunos juegos esta genial"
419,52,2023-08-06,5,1224,"Mucho placer, pruébalo no solo en la cabeza, si no tb en el hombro y rodilla o donde se te ocurra y déjate llevar al paraíso"
420,52,2023-08-04,5,1066,"La primera vez que lo usas no dejará indiferente a nadie, una sensación tan relajante y que puede dar mucho juego, para mi gusto lo uso para relajarme."
465,39,2024-01-12,5,594,"Es muy sexy, Me encanta y a mi compañero de juegos también. Da mucho morbo. Un gran acierto."
466,39,2023-11-10,5,324,"Buen producto.El efecto visual és espectacular, da muchisimo juego y morbo. Complemento perfecto par jugar con tu pareja y alimentar la imaginación.Sexy sin caer en lo vulgar.La relacion calidad precio es buena.Nos ha gustado mucho a los dos, recomendable."
467,39,2023-09-28,5,378,Me/Nos flipa!!! Queda bien y da todo el juego que quieras. Súper contenta/xs de la nueva adquisición.
468,39,2023-08-14,4,395,"Es un poco complicado de poner, pero se adapta muy bien, no sé queda marcado y me ha llegado hasta arriba de la entrepierna!!, que yo soy grandota y a veces tengo problema con esto porque se me quedan un poco cortos y son incómodos para vestir. Lo único que no me ha gustado es que la tiranta del cuello si aprieta un poco, pero no se nota, se puede poner sin complejos."
469,39,2023-08-02,5,907,"Esta muy bueno,lo único que la parte superior de atrás ,tendria que ser más elástico,porque a mí chica le ajustaba bastante y por lo tanto se le hacía incómodo aguantarlo"
470,39,2023-07-12,5,766,simplemente espectacular a mi pareja le encantó como me quedaba. Es cierto que aprovechamos la oferta y repetiriamos sin duda!
483,0,2023-10-01,5,606,Es muy elástico y de buena calidad. Se amolda al cuerpo perfectamente.
484,0,2023-08-23,5,899,"Me encanta, parece pequeño pero es muuuuy elástico, resistente y queda genial, es muy cómodo."
491,49,2024-01-09,5,588,"Mi mujer y yo estamos encantados y da mucho juego, lo utilizamos los dos"
492,49,2024-01-08,5,53,"Muy agradable, tanto de tamaño como de forma. Y un placer especial dar un paseo con él puesto. Gran compra y muy recomendable"
493,49,2024-01-04,5,1497,"Ya tenía el pequeño desde hacía tiempo, y ahora tengo también el mediano. Va bastante bien para dilatar antes de las relaciones o simplemente llevarlo puesto por diversión. Además, al ser de metal desliza perfectamente, usando un buen lubricante."
494,49,2024-01-03,5,409,"Compré uno pequeño hace tiempo, y ahora tengo también el mediano. Noto que ambos deslizan perfectamente y se introducen sin mucho problema (siempre usando lubricante). Me parecen muy buena opción para dilatar antes de mantener relaciones, o simplemente para usarlos por placer y curiosidad."
495,49,2023-12-10,5,882,"Muy impresionante. Como mi chica y yo estamos iniciados en el sexo anal, compramos el tamaño XL y la verdad, es una pasada. A ver, hay que hacer algunas puntualizaciones: si no estás acostumbrado a prácticas anales, el XL va a resultar doloroso tanto al introducirlo como al llevarlo puesto (hasta que dilates), por lo que mejor empezar con el tamaño M. Otro inconveniente es que al ser de metal, no nos vale un lubricante a base de agua (el que utilizaríamos para el sexo tradicional), sino que necesitamos un lubricante especial anal. Esto es debido que tras un uso prolongado (un par de horas), puede que el plug se adhiera un poco internamente y resulta bastante molesto e incluso doloroso.Como ventajas (además del precio), yo destacaría dos: su peso es una maravilla, hace que no se te olvide que está dentro. Y la segunda, a mí como hombre, tras realizar determinados movimientos me estimula el punto P y he llegado a tener un orgasmo involuntario debido a este simple estímulo.En resumen, si estáis ya iniciados en este mundo, os recomiendo 100% este plug!!"
496,49,2023-12-08,5,168,"Ya tenía el pequeño y la verdad es que quería probar el grande. Se nota mucha diferencia de uno a otro, en tamaño y en peso. El grande, con lubricante normal, le cuenta entrar del todo ya que la parte mas ancha duele, pero lo probé con Bacanal y la verdad es que entra casi solo, sin problemas. el pequeño ya no lo uso."
497,49,2023-12-03,5,389,"Lo compré para mí y lo usa más mi pareja,disfruta mucho y a mí me pone mucho ,tiene un tacto muy suave,y se much juego ."
498,49,2023-10-29,5,102,"Muy buen plug con brillante. Recomiendo el tamaño pequeño si soys novatos en el mundo anal, puesto queda super chulo y morboso."
499,49,2023-10-18,3,335,"Es mi primer plug (soy muy novato) pero es muy suave y cómodo. A mi lo que ""no me pone nada"" es lo del ""brillante"". Lo preferiría rematado sin adorno."
500,49,2023-10-01,5,422,"El tamaño pequeño es ideal para iniciarse, nos lo pasamos muy bien. Se puede jugar con la temperatura y aunque no pesa en exceso sí se nota un poco y lo hace más divertido"
501,49,2023-09-24,5,866,Tamaño justo para sumar estimulación anal al mismo tiempo que genital. Fácil de limpiar y compatible con aceites.
502,49,2023-09-16,5,33,Muy cómodo de llevar y muy fácil de introducir. Llevo el grande casi todo el día y es fenomenal.
503,49,2023-08-30,5,462,He comprado el modelo grande. Es muy cómodo de introducir y muy agradable de llevar puesto. Lo llevo durante horas y la sensación es fenomenal.
504,49,2023-08-27,5,606,Teníamos un plug pequeño para iniciarse.Ahora hemos comprado el mediano y el tamaño va acorde a lo que necesitamos.Verlo puesto da mucho morbo.
505,49,2023-08-16,5,166,"IMPRESIONANTE, Lo encargó mi mujer y acabamos probándolo los dos. Compramos el pequeño ( ya se nos ha quedado pequeño jejeje y en estos días compraremos el mediano. Pero ya digo de antemano que me ENCANTA y a mi mujer también. Un saludo"
506,49,2023-08-14,5,103,"De momento, el juguete favorito de mi pareja y mío. Super polivalente. Tanto él como yo disfrutamos usándolo. Muy excitante también cuando lo lleva el otro puesto."
507,49,2023-08-14,5,517,Perfecto para iniciarse en sexo anal y para uso en pareja. Polivalente y discreto. El tamaño medio nos parece perfecto.
508,49,2023-08-06,5,361,"Muy buen producto. No es el primero que compro, siempre le encanta a mi chica. El tamaño medio es el que mas le gusta. Lo disfruta mucho y, ademas de preparar para la penetración anal, la excita mucho (y a mi verla con ello!). Le encanta llevarlo metido mientras la penetro y mientras me practica sexo oral.Su aspecto es muy limpio, aguanta mucho uso, se limpia genial y su peso es el ideal.Lo recomiendo al 100%, es un valor seguro."
509,49,2023-06-20,5,1463,"Compré el tamaño pequeño para ver si mi mujer se animaba a probar el sexo anal. El resultado no fue el esperado y me dijo que si quería probarlo, que ella encantada de metérmelo. Y como es una cosa por la que siempre he sentido curiosidad, no he podido decirle que no. Tacto muy agradable, tamaño ideal para empezar y muy buenas sensaciones, con un poco de lubricante y con un poco de juego, el plug entra solo y no molesta para nada, lo puedes dejar un buen rato puesto. A mi mujer le ha gustado y seguiremos jugando con el."
538,432,2023-09-14,5,866,"Para mi han sido super excitantes verlos puestos en los pezones de mi mujer. Para ella ha sido mejor de lo que esperaba, no le han dolido, al contrario. Están muy bien porque se puede regular la intensidad de las pinzas."
539,432,2023-09-05,5,254,"Tenía muchas ganas de un producto así, he estado un tiempo buscando y encontré este. Estoy súper contenta de haberlas encontrado porque están muy bien diseñadas, en mi caso tengo los pezones muy sensibles y me daba miedo que al engancharlos se apretaran mucho las pinzas y que llegarán a hacerme daño pero, estas cuentan con una tuerca en uno de los laterales que permite ajustar la presión que ejerce la pinza en el pezón. IdealLa pluma simplemente preciosa, le da un toque exótico al producto y es muy agradable al tacto."
546,40,2023-08-07,4,882,Lo hemos utilizado para juego previo y de sabor nada mal! Lo que si es un 5 estrellas seguro es en la lubricación! Dura todo el acto!
547,40,2023-08-02,4,1066,"Olor idéntico, textura realmente buena y el saber no es idéntico pero tiene ese toque. Lo recomiendo."
548,40,2023-07-23,5,346,"Sabor a mandarina muy agradable. tacto un poco viscoso, pero bien. va muy bien con los juguetes. Deja mancha en las sábanas, pero se va fácilmente con agua o en la lavadora."
562,1,2023-07-12,5,766,este body me encanta. se adapta bastante bien al cuerpo y además de ser muy bonito! da muuuucho juego
581,44,2023-11-07,5,322,"Me encanta! Cómoda, práctica y discreta. Para llevar en bolso o riñera e ir siempre preparada a todos los lugares donde pueda surgir el deseo sin planearlo. Ideal para llevar tres monodosis o preservativos, o combinarlo entre ellos para tener de todo un poco. Me la compré en negra porque los otros colores estaban agotados, pero me gustaría que trajesen el resto de colores en blanca o verde también, ya que me flipan esos colores."
582,44,2023-11-02,5,422,"Tamaño perfecto, muy práctica, discreta y resistente. Ideal para llevar preservativos o monodosis de lubricante sin miedo a que puedan dañarse o romperse."
583,44,2023-09-24,5,568,Excelente producto.Perfecto para 3 preservativos.Discreto y muy elegante a la vez.
593,26,2024-01-08,5,148,"Sencillamente me encantan. Me meé una vez estornudando y han sido mi salvación. Son discretas y las puedes llevar en muchas ocasiones del día. Me han gustado tanto que le voy a regalar unas a mis dos mejores amigas, porque las quiero"
725,46,2024-01-15,5,588,"La cinta es muy suave y se puede usar para distintas funciones. Además, al ser de dos colores puede combinarse muy bien con otros elementos."
726,46,2023-12-18,5,36,Habrá gente que dirá... psss vaya tontería... para eso sirve cualquier pañuelo... pero no... además del atractivo de su color y los mensajes es muy agradable al tacto y perfecta para cualquier travesura que se nos ocurra dada su largura y resistencia. Todo un acierto comprarla para complementar el kit de atame de manos y pies
727,46,2023-07-26,5,335,"Me encantó la textura, el color, la sensación que sientes al no ver lo que sucede, genial"
728,46,2023-07-02,5,1073,"Es perfecta al tacto y no se ve nada, ideal para jugar a ciegas"
759,30,2023-09-15,5,71,"Estoy muy satisfecha con esta compra. Ya había probado otros succionadores más clásicos y este es un paso más, con muchas posibilidades."
760,43,2023-12-12,5,34,"Estoy muy contenta con la compra, me ha gustado mucho. Simplemente usándolo como dildo sin activar la vibración ya es genial, y la forma que tiene permite usarlo de diferentes maneras."
761,43,2023-10-31,3,1419,"Sinceramente pensaba que seria mi juguete favorito peeero no, la cola del ballenato no me llega al clítoris, por lo que me ha decepcionado un poco, para usarlo como solo vibrador bien. Un poco decepcionada :("
762,43,2023-07-23,5,1675,"No se puede decir nada malo de el...es suave,tamaño ideal,muy manejable,el mando es sencillo y fácil de usar...para hacer doblete es perfecto,es más,esperamos comprar otro"
783,33,2023-08-07,5,735,"Pensaba que no me iba a caber… pero si que cabe jajaja… que no asuste el tamaño, con la debida lubricación entra muy bien. Lo único que la ventosa no pega en mis superficies, tendré que improvisar."
784,33,2023-07-26,5,884,"Tamaño perfecto, tacto poco suave, buena potencia. Buen dildo, sólo mejoraría la insercción en arnés."
785,33,2023-06-18,5,460,"Nos ha gustado muuuuucho, más a ella que a mi jajajajajaja, de entrada parece excesivamente grande, pero después hemos visto que tiene un tamaño perfecto, lo recomendamos, da mucho juego."
800,53,2024-01-08,3,306,"Es divertido pero cada n tiempo hay que volver a encenderlo desde el aparato, no se enciende directamente con el mando (eso o el mío está roto) y pierde el ""factor sorpresa"". A mí me resulta duro contra el clítoris, es el primero de este tipo de juguetes que uso y no sé si hay más blanditos, pero si que es super suave.Es relativamente silencioso, como dicen, si estás en un entorno sin ruido se oye, aunque eso sí: no se cantea ni un milímetro, antes se mueven las bragas."
